size,distance,time,constant b
20,0,6023,4489
10,582,4322,15
40,515,1317,34
10,592,3951,0
100,440,1333,116
10,722,2200,17
60,239,1067,34
20,396,1217,0
10,418,1850,16
100,666,1333,66
10,733,2234,0
40,359,1183,117
20,769,3184,18
100,411,1433,118
20,213,1451,0
60,299,1367,17
100,231,833,0
100,215,1001,33
20,614,2300,0
100,485,1033,83
20,283,1017,84
100,95,717,16
10,155,2967,16
20,755,2331,50
60,242,1049,250
100,91,919,18
40,202,1549,15
20,262,2350,17
10,146,2033,17
10,364,3068,18
40,370,1199,0
20,363,1201,18
40,448,1784,0
60,214,949,17
20,577,1602,18
60,562,883,33
40,591,1283,16
20,618,1767,201
20,682,1884,0
10,650,2566,0
60,386,1150,51
60,238,1017,0
60,249,851,0
40,523,1266,33
100,288,767,17
10,383,1466,0
10,631,1715,84
40,470,1769,52
40,390,1366,17
10,339,1784,35
40,488,1233,149
40,437,1085,0
20,477,1651,16
60,348,1232,16
10,439,1400,17
100,493,934,34
40,268,1217,17
100,687,1117,17
100,544,1314,0
40,477,1203,20
60,709,983,17
60,190,1100,0
40,125,1168,0
10,845,2184,16
60,917,1366,0
20,871,1833,0
20,262,1318,0
100,454,1299,16
100,143,967,17
60,562,1100,17
10,271,1750,0
100,529,1351,0
10,529,2266,0
40,398,885,200
10,441,1766,49
40,640,1183,34
40,195,1168,50
10,568,1633,0
60,203,1099,66
10,373,1451,34
60,362,1450,17
60,816,1351,34
100,326,700,0
40,477,1433,17
20,577,1084,0
100,387,866,16
60,621,1267,17
10,151,1401,0
20,430,1716,16
40,249,1366,18
20,828,1752,0
20,431,1100,0
100,527,884,0
60,327,966,15
40,575,1383,133
20,539,1466,17
100,445,1251,0
60,81,934,17
60,208,966,0
100,626,1050,51
