size,distance,time,constant b
40,0,2434,650
20,556,4266,548
60,575,2900,416
10,489,2234,384
60,680,1600,400
60,775,1416,317
40,112,3151,217
20,368,1883,550
10,761,4434,384
10,420,3034,451
60,418,1467,467
100,169,984,367
100,249,1216,433
100,401,1350,351
10,563,2800,400
60,629,1767,434
100,134,1534,601
10,432,2200,400
100,191,967,284
60,423,1884,334
20,540,2217,433
10,585,2301,316
60,447,1316,266
10,126,2467,400
20,476,3101,484
60,136,2333,532
100,852,1350,300
40,544,1301,350
10,770,6866,366
40,620,2717,517
20,537,1850,466
100,824,1733,333
20,180,2018,550
10,205,3516,433
10,247,2834,384
40,587,1800,416
100,35,667,416
100,426,1383,450
20,306,1784,334
60,675,3217,316
20,649,3850,384
100,354,1434,567
40,226,1267,468
20,303,1667,417
40,540,2366,350
20,754,2384,268
40,475,2317,334
100,78,1351,267
40,519,1383,266
20,492,1600,316
10,465,2934,367
100,468,1666,483
40,444,1401,234
40,440,2217,450
10,631,4251,332
60,209,1451,417
100,401,1382,515
10,67,2634,451
100,123,1133,433
20,135,2934,435
20,95,1116,317
40,328,1484,351
20,778,2533,333
20,507,2085,368
40,358,1216,382
40,483,1348,318
10,106,2170,469
60,617,1716,266
20,460,2283,566
20,617,2167,400
60,506,1900,301
10,427,4551,350
40,240,1367,518
100,401,3051,482
40,184,1250,432
60,623,4184,1817
20,422,1733,316
20,434,2516,433
20,91,1468,334
60,480,1301,234
40,476,1350,382
60,408,1315,265
40,573,1620,285
40,787,1398,348
10,457,2601,251
100,218,1333,366
10,422,4816,383
60,663,1501,352
60,453,1550,251
10,652,2718,250
60,509,1616,283
100,568,1700,467
60,461,817,218
100,107,1400,517
60,173,1368,468
10,403,2667,299
100,164,1000,416
10,438,1899,400
40,202,2084,418
100,457,1484,500
