size,distance,time,constant b
60,0,1601,650
100,133,1255,489
40,391,1968,350
20,52,2834,316
10,798,4950,500
100,506,1350,401
10,538,2350,334
100,435,1268,335
20,601,2032,334
100,1000,1552,284
40,364,1633,315
60,579,1567,183
10,588,2884,233
20,263,1451,349
100,311,1233,349
20,117,2566,283
40,611,1267,250
40,244,1418,300
20,655,1600,333
60,368,1499,332
20,864,1568,283
100,659,1633,466
20,577,1616,316
40,647,1550,318
60,413,2168,300
60,441,1333,350
60,478,1200,334
40,578,1467,351
10,473,1884,334
20,360,1366,283
40,476,1251,184
20,655,3183,300
20,97,3465,665
40,603,1918,551
100,322,1066,199
40,226,2600,168
10,218,1901,384
100,409,1384,416
100,740,1299,299
100,400,1200,334
20,405,2219,318
20,326,2083,416
100,282,2717,383
20,721,1533,366
40,108,1301,350
10,391,3267,350
100,367,1115,383
60,342,1301,267
40,749,2117,317
100,107,1067,416
100,356,1134,301
10,415,2650,316
100,651,1351,367
60,173,2233,349
40,563,1400,267
10,485,2734,250
10,329,3450,400
10,535,2868,417
10,465,4267,333
60,653,1416,366
40,322,1300,334
60,162,1250,316
20,555,2201,334
60,739,1383,250
100,318,1267,267
60,694,1350,251
60,219,1085,217
60,252,1232,249
10,802,2884,284
20,320,2733,384
100,469,1267,301
20,110,1234,334
20,345,1500,401
20,487,1818,250
40,248,1383,349
10,210,3501,317
40,249,1483,400
40,407,1283,284
60,572,1317,284
60,117,1033,316
100,428,1051,251
10,574,5467,350
40,563,1750,433
10,263,3534,317
100,326,1200,384
60,458,1350,233
60,515,1284,267
40,329,1117,267
40,153,1417,350
10,458,3783,283
60,171,1117,384
60,394,1251,285
20,690,1833,200
40,483,1201,268
10,342,1583,216
10,232,1634,367
20,567,1516,284
10,729,5468,317
10,605,3934,633
100,476,1183,333
