size,distance,time,constant b
40,0,1769,752
100,312,1791,207
20,354,2267,234
100,826,1267,250
20,848,2917,18
100,717,1134,350
60,212,1166,434
100,356,1635,467
60,198,1116,0
60,114,833,217
20,462,3134,167
60,638,1499,467
100,72,1768,185
10,257,3267,566
10,133,3050,783
40,263,1267,283
100,111,733,317
10,475,1817,251
100,471,1018,134
100,182,1083,149
40,288,1083,250
100,449,1000,250
100,688,1368,217
40,584,1432,283
100,468,1152,300
60,255,849,249
20,445,1733,266
40,578,1318,167
10,486,2217,166
60,528,1333,132
10,395,1950,200
10,334,2768,134
40,374,1266,183
60,823,1651,201
40,595,1745,378
40,68,1650,150
60,799,2100,350
60,388,1651,617
60,489,1000,283
100,122,1600,216
100,675,2116,149
10,518,4385,216
20,544,3284,216
20,378,2783,133
40,122,983,150
10,296,3501,251
10,564,2951,316
40,137,1183,215
10,487,5233,217
100,386,1434,485
10,491,3334,233
10,421,1617,399
100,257,933,250
20,144,2517,200
40,246,1084,183
20,261,1099,166
10,164,2052,200
60,534,1832,132
40,122,884,233
20,534,2134,183
40,216,1417,166
40,483,1500,199
40,148,1249,249
60,144,1235,351
40,161,916,283
20,364,1735,267
60,397,1216,166
60,266,916,249
20,504,2034,100
20,633,2550,133
100,557,1150,167
20,545,2067,167
20,364,1617,184
20,483,1885,135
20,313,1832,149
10,473,2817,234
10,379,2501,334
100,373,1150,167
20,612,1867,283
10,352,2716,216
40,877,1917,234
10,438,3535,734
20,486,2434,199
60,387,1450,99
40,541,1216,133
60,325,1050,117
100,457,1068,133
40,286,1099,115
60,668,1350,133
10,600,2601,83
10,703,3517,116
60,707,1483,416
100,381,1051,167
10,347,3433,467
20,207,2317,392
60,425,1267,200
40,338,1317,200
60,648,950,316
20,50,1617,100
100,245,1151,351
