size,distance,time,constant b
60,0,940,99
100,331,940,20
40,547,1017,0
20,377,1317,17
10,99,1500,0
60,321,885,17
60,153,849,0
100,564,1134,17
10,485,1884,0
100,220,867,66
100,440,850,16
40,182,899,17
20,290,1334,0
100,256,867,33
100,536,933,17
20,292,1084,17
100,392,1033,16
10,494,2967,33
60,718,1117,167
10,401,1817,0
20,287,1416,250
60,473,901,33
100,268,750,50
10,323,1800,0
10,539,1917,83
100,476,900,150
20,472,1366,17
40,687,1367,83
40,657,1301,0
10,820,1950,100
10,699,2234,67
20,747,1500,67
60,510,833,34
20,472,1517,50
40,294,1001,34
10,217,1083,16
20,255,1250,66
40,279,1250,0
100,424,934,17
20,159,1233,0
10,703,1601,83
100,248,850,199
10,808,2983,0
40,493,967,67
20,387,1042,8
100,551,984,0
10,271,1434,166
40,563,1367,33
60,202,799,16
60,470,1300,0
100,192,700,134
40,429,1151,18
20,428,1701,33
40,254,1132,16
10,436,1534,67
10,806,2000,101
10,954,2834,0
60,355,900,151
100,547,950,50
40,122,1134,33
60,499,933,65
20,842,1701,34
60,892,1083,33
40,365,767,16
40,228,916,16
60,402,1017,0
40,314,1000,17
100,130,734,0
100,232,699,0
20,629,1584,50
20,460,1384,18
20,570,1600,16
20,491,1400,33
20,544,2167,101
60,511,983,100
10,361,1717,0
60,534,784,151
40,358,1067,33
40,713,1300,17
100,499,751,133
20,460,1399,16
10,636,1917,67
60,553,983,134
40,733,1584,67
60,780,1185,51
40,711,1149,16
10,944,2033,16
20,926,1450,34
100,543,1217,34
60,672,1084,17
100,735,983,67
10,82,1783,17
40,263,1134,134
10,694,1967,51
40,473,1050,134
20,463,1317,84
60,99,868,16
60,218,832,0
60,154,884,0
100,437,883,33
